,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
176289,1lp0bwGX8D31vUybJSiCm8,Islands & Shores,41,339907,0,['Deportees'],2011-01-01,0.451,0.918,10,-6.022,1,0.0693,0.0573,0.00654,0.343,0.154,143.099,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
190331,2pPM51PVfJLU8ndOriqYsA,La'l,34,202173,0,['Sezen Aksu'],2009,0.444,0.155,0,-10.482,0,0.038,0.882,0.0,0.116,0.373,142.285,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
192781,30oGazXdD7pezhc5pRFU22,卒業写真,39,194400,0,['Miki Imai'],2013-10-09,0.373,0.214,1,-10.027,1,0.031,0.904,7.85e-06,0.255,0.167,139.097,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
198027,3P8q56eRbK2ujkKT84I7av,İzmir'in Kızları,46,280267,0,['Sezen Aksu'],2008-06-18,0.598,0.632,6,-5.772,0,0.0363,0.562,0.0,0.0892,0.735,144.913,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
205036,3wJpgUzUsNGHE4tfXVEvo4,Hilang,39,282027,0,['Remember of Today'],2014-03-31,0.411,0.864,0,-5.211,1,0.0524,0.000313,0.0,0.391,0.383,132.991,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
209820,4IrJRB4MzNBnUymAZe0s94,Kurşuni Renkler,55,277520,0,['Sezen Aksu'],2009,0.522,0.376,10,-8.1,0,0.031,0.788,0.0,0.106,0.456,141.926,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
216433,4mZ4P2NAdjq8PHuvROSLIS,"İkili Delilik - Kivanch K., Cem Oyal Remix",35,262773,0,['Sezen Aksu'],2005-06-23,0.789,0.539,2,-8.758,0,0.0655,0.0247,0.00518,0.273,0.673,130.04,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
217727,4sJ60sSSwWNIdxnjiewHU2,Perişanım Şimdi,45,322427,0,['Sezen Aksu'],2005-02-10,0.514,0.515,11,-9.427,0,0.0477,0.856,7.75e-05,0.129,0.674,139.823,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
219487,50K50CRUzz8i6CBy5pWRE7,Yanmışım Sönmüşüm Ben,42,280613,0,['Sezen Aksu'],2005-02-10,0.717,0.819,7,-5.786,0,0.0626,0.0558,0.0176,0.352,0.825,125.017,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
219884,52A0jMZkAaVQltgzcQq3pR,Kaçak,45,240600,0,['Sezen Aksu'],2009,0.669,0.468,1,-9.523,0,0.0758,0.791,3.33e-06,0.11,0.431,143.922,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
224713,5PCPbKznbVI4eMdYhSqvVj,瞳がほほえむから - 20051211 Ivory,36,373470,0,['Miki Imai'],2006-02-22,0.537,0.341,0,-10.527,0,0.0283,0.639,1.29e-05,0.285,0.236,121.002,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
231458,5twNUyui6205SE8aNK1zLH,Söz Bitti,31,424046,0,['Sezen Aksu'],2009,0.382,0.535,9,-6.4,0,0.0296,0.0529,6.02e-05,0.133,0.05,145.945,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
232796,60JarpLzVUsWF2s6ZSr48W,Felember,37,195960,0,['Hooligans'],2006-01-01,0.547,0.872,7,-3.752,1,0.0337,0.0893,0.0,0.113,0.67,130.016,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
233801,64wJJQ7wFtopVHVU3QWVxk,Vay,57,237540,0,['Sezen Aksu'],2011-05-23,0.404,0.427,11,-9.561,0,0.0389,0.659,0.0,0.113,0.44,120.172,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
246872,74gvkgZRn4CSsAdoywiwcU,Yaz,46,239933,0,['Sezen Aksu'],2003-08-06,0.849,0.72,11,-8.54,1,0.146,0.0449,8.12e-05,0.218,0.516,126.999,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
254080,7p9eicB82CU3i9flAUSwVW,Mithali Cintaku,36,326693,0,['U-Topia'],2012-01-01,0.403,0.701,2,-4.008,1,0.0307,0.0955,0.000642,0.205,0.398,136.984,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
